bus_id,gpsX,gpsY,address_1,address_2
146,127.07937,37.569546,광진구,중곡동
146,127.078476,37.56794,광진구,중곡동
146,127.077515,37.566223,광진구,중곡동
146,127.077515,37.566223,광진구,중곡동
146,127.076805,37.564957,광진구,중곡동
146,127.07646,37.564342,광진구,중곡동
146,127.076416,37.564236,광진구,중곡동
146,127.076416,37.564236,광진구,중곡동
146,127.07574,37.563026,광진구,중곡동
146,127.07514,37.561954,광진구,중곡동
146,127.075134,37.561943,광진구,중곡동
146,127.074745,37.56125,광진구,중곡동
146,127.0743,37.560497,광진구,중곡동
146,127.074265,37.56045,광진구,중곡동
146,127.07427,37.56045,광진구,중곡동
146,127.074234,37.560417,광진구,중곡동
146,127.074165,37.560284,광진구,중곡동
146,127.07406,37.560123,광진구,중곡동
146,127.074036,37.560093,광진구,중곡동
146,127.074036,37.560093,광진구,중곡동
146,127.074036,37.560093,광진구,중곡동
146,127.0578,37.53108,광진구,자양동
146,127.05866,37.53266,광진구,자양동
146,127.05866,37.53266,광진구,자양동
146,127.05866,37.53267,광진구,자양동
146,127.059006,37.53331,광진구,자양동
146,127.059044,37.53338,광진구,자양동
146,127.05906,37.5334,광진구,자양동
146,127.059135,37.533546,광진구,자양동
146,127.059135,37.533546,광진구,자양동
146,127.05922,37.53368,광진구,자양동
146,127.05953,37.534184,광진구,자양동
146,127.05953,37.534184,광진구,자양동
146,127.05953,37.534184,광진구,자양동
146,127.05999,37.535,광진구,자양동
146,127.060295,37.53555,광진구,자양동
146,127.06036,37.535572,광진구,자양동
146,127.0604,37.53562,광진구,자양동
146,127.060585,37.536007,광진구,자양동
146,127.06077,37.53631,광진구,자양동
146,127.06077,37.53631,광진구,자양동
146,127.06077,37.53631,광진구,자양동
146,127.06082,37.536404,광진구,자양동
146,127.06125,37.53716,광진구,자양동
146,127.06128,37.537224,광진구,자양동
146,127.06128,37.537224,광진구,자양동
146,127.06131,37.53726,광진구,자양동
146,127.061356,37.537327,광진구,자양동
146,127.062225,37.538963,광진구,자양동
146,127.06257,37.539413,광진구,자양동
146,127.06259,37.53946,광진구,자양동
146,127.062744,37.539734,광진구,자양동
146,127.06289,37.540077,광진구,자양동
146,127.06292,37.540127,광진구,자양동
146,127.06292,37.540127,광진구,자양동
146,127.062935,37.54016,광진구,자양동
146,127.06373,37.54153,광진구,자양동
146,127.06375,37.54157,광진구,자양동
146,127.06376,37.541595,광진구,자양동
146,127.06378,37.541637,광진구,자양동
146,127.06401,37.542057,광진구,자양동
146,127.06405,37.542126,광진구,자양동
146,127.06405,37.542126,광진구,자양동
146,127.06408,37.542187,광진구,화양동
146,127.064354,37.542664,광진구,화양동
146,127.06438,37.54271,광진구,화양동
