bus_id,gpsX,gpsY,address_1,address_2,arsId,station_name
2014,127.061162321,37.5365680167,광진구,자양동,104000127,영동대교북단
2014,127.0628993085,37.5366067526,광진구,자양동,104000128,노룬산시장앞
2014,127.066874712,37.5355719112,광진구,자양동,104000107,국민은행신자양지점
2014,127.067497,37.533632,광진구,자양동,104000130,자양4동주민센터앞
2014,127.0679950793,37.5335104561,광진구,자양동,104000129,신양초등학교앞
2014,127.0673127049,37.5356635743,광진구,자양동,104000122,국민은행신자양지점
2014,127.0629447386,37.5368058708,광진구,자양동,104000126,노룬산시장앞
2211,127.0813749581,37.571462406,광진구,중곡동,104000248,면곡시장
2221,127.0750132783,37.5303694922,광진구,자양동,104000096,신자초등학교앞
2221,127.0768712862,37.5327003382,광진구,자양동,104000097,자양미소약국.자양골목시장
2221,127.0807386521,37.5315308364,광진구,자양동,104000098,국민은행자양지점앞
2221,127.0846733447,37.5319732231,광진구,자양동,104000100,자양아파트앞
2221,127.0844077778,37.5352822425,광진구,자양동,104000291,동서울우편집중국앞
2221,127.0835191184,37.538986382,광진구,구의동,104000055,광진구청
2221,127.0846474366,37.5430873683,광진구,구의동,104000053,광진경찰서
2221,127.0863480831,37.5458173579,광진구,구의동,104000061,구의사거리
2221,127.08958588,37.5486416815,광진구,구의동,104000059,구의2동주민센터입구
2221,127.0901491873,37.5512084718,광진구,구의동,104000006,어린이대공원후문아차산역
2221,127.086550509,37.5544965543,광진구,중곡동,104000005,중곡동입구삼거리
2221,127.082473132,37.5560989145,광진구,중곡동,104000003,군자역.용마초등학교
2221,127.0756461481,37.5587409868,광진구,중곡동,104000001,군자교입구
2221,127.0749002776,37.5587937258,광진구,군자동,104000002,군자교입구
2221,127.081565514,37.5562229948,광진구,능동,104000004,군자역.용마초등학교
2221,127.0848655495,37.554826955,광진구,능동,104000299,중곡동입구삼거리
2221,127.0892452052,37.5524229328,광진구,능동,104000007,어린이대공원후문아차산역
2221,127.0897846677,37.5492515718,광진구,구의동,104000058,구의2동주민센터입구
2221,127.0857469566,37.5456510932,광진구,구의동,104000060,구의사거리
2221,127.0836883111,37.5415336614,광진구,구의동,104000052,광진경찰서
2221,127.0831530574,37.5384883339,광진구,자양동,104000082,광진구청
2221,127.0848057104,37.5329553244,광진구,자양동,104000095,자양동잠실대교북단
2221,127.081413066,37.531572725,광진구,자양동,104000092,국민은행자양지점앞
2221,127.077319,37.53275,광진구,자양동,104000090,자양미소약국.자양골목시장
2221,127.074922,37.530768,광진구,자양동,104000116,신자초등학교앞
2222,127.0750132783,37.5303694922,광진구,자양동,104000096,신자초등학교앞
2222,127.0747505569,37.5335505333,광진구,자양동,104000168,제일은행사거리
2222,127.0734066984,37.533946958,광진구,자양동,104000118,자양우성아파트앞
